Serial no,R,G,B,40-70比例%,70-120比例%,325比例%,砂粉產地,樹酯品牌,樹酯比例%,色粉1,色粉1比例%(樹酯),色粉2,色粉2比例%(樹酯),色粉3,色粉3比例%(樹酯),偶聯劑%(樹酯),促進劑%(樹酯),固化劑%(樹酯),color
104432  河源 0%,183,180,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,182,172,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,182,182,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,181,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,181,180,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,184,179,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
