Serial no,R,G,B,40-70比例%,70-120比例%,325比例%,砂粉產地,樹酯品牌,樹酯比例%,色粉1,色粉1比例%(樹酯),色粉2,色粉2比例%(樹酯),色粉3,色粉3比例%(樹酯),偶聯劑%(樹酯),促進劑%(樹酯),固化劑%(樹酯),color
391532 河源4%碳黑,30,32,27,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,33,28,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,31,32,27,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,30,31,26,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,33,35,30,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,33,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,35,37,32,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,31,33,28,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,31,33,28,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,31,32,27,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,33,28,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,30,32,27,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,32,34,29,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
391532 河源4%碳黑,27,28,23,39,15,32,河源,未知,13.8,碳黑粉,4,無,0,無,0,1.2,0.16,0.53,Yellow
